audio	condition	item	stimulus	comprehension	answer
1_1_fill	a	1	This is the woman that  because the police arrested the thief  everyone consoled her.	Did everyone console the woman?	y
2_1_exp	b	1	This is the person that  because the police arrested the thief  everybody consoled.	Did everyone console the person?	y
3_1_exp	c	1	This is the person that  because the police arrested him  the townspeople felt safer.	Did the police arrest townspeople?	n
4_1_fill	d	1	This is the person that  because the police arrested  the townspeople felt safer.	Did the police arrest someone?	y
5_1_exp	a	2	This is the game that  unless Darlene watches her weight  she will lose it.	Did Darlene watch a movie?	n
6_1_fill	b	2	This is the game that  unless Darlene watches her weight  she will lose.	Did Darlene watch a movie?	n
7_1_fill	c	2	This is the game that  unless Darlene watches it  she will throw a tantrum.	Does Darlene want to watch a game?	y
8_1_exp	d	2	This is the game that  unless Darlene watches  she will throw a tantrum.	Does Darlene want to watch a show?	n
9_1_exp	filler	x	No pyramids that the archaeologists have explored have ever been declared off-limits to tourists. 	Were pyramids declared off-limits to tourists?	n
10_1_fill	filler	x	Most shows that the critics bombed will ever go on Broadway. 	Did the critics go on Broadway?	n
